overall interesting clarity materials tasks user_id lesson_name stream_name module_name course share45 var
3.0 4.0 2.0 3.0 2.0 17441158 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.25 0.9166666666666666
4.0 4.0 3.0 3.0 4.0 13707765 "37 Шеринг доски" "Профессия Python-разработчик 5.0" "7. Типовые задачи разработчика" "Профессия Python разработчик" 0.5 0.3333333333333333
5.0 4.0 4.0 4.0 4.0 10339692 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 16180118 "10.1 Git / Github / Flask" "Профессия Python-разработчик 13.0" "3. Основы веб-разработки" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 13825472 "Новый ритм жизни – работа с календарем" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.25
5.0 4.0 5.0 5.0 4.0 17670025 Баг-репорты "Марафон от Skypro: Выбери свою IT-профессию" "Инженер по тестированию" "Марафон от Skypro: Выбери свою IT-профессию" 1.0 0.3333333333333333
5.0 4.0 5.0 5.0 5.0 17669434 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
5.0 5.0 5.0 4.0 5.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
4.0 4.0 5.0   3631918 "Занятие 1. Настройка ритма жизни" "Профессия Веб-разработчик 7.0" "Soft track (надпрофессиональные навыки)" "Профессия Веб-разработчик" 0.5 0.5
4.0 4.0 5.0 4.0 4.0 15770906 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Полное погружение в маркетинг" 1.0 0.25
4.0 3.0 4.0 5.0 4.0 6080701 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.75 0.6666666666666666
5.0 4.0 5.0 4.0 5.0 17669434 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.3333333333333333
3.0 2.0 2.0 2.0 3.0 15674877 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Android-разработчик" 0.0 0.25
4.0 4.0 4.0   14126745 "Управление состоянием. Redux" "Профессия Веб-разработчик 3.0" "5. Библиотека React" "Профессия Веб-разработчик" 0.5 0.0
4.0 4.0 4.0 4.0 4.0 3304508 "Урок 1. Настройка на новый ритм" "Профессия Аналитик данных 29.0" "Soft Track" "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 4.0 5.0  5.0 17660578 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.75 0.33333333333333337
5.0 4.0 5.0 5.0 5.0 16320803 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 17445983 "Новый ритм жизни – работа с календарем" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.25
4.0 4.0 4.0 4.0 4.0 15674877 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Android-разработчик" 1.0 0.0
5.0 5.0 5.0 4.0 4.0 17660092 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.3333333333333333
4.0 4.0 5.0   17634603 "У меня получилось: видео-истории выпускников" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.5 0.5
4.0 4.0 5.0 4.0 4.0 16640583 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 16408041 "Урок 1. Логика: необходимые и достаточные условия" "Профессия Аналитик данных 27.0" Логика "Профессия Аналитик данных 4.0" 1.0 0.25
5.0 5.0 5.0 5.0 5.0 17606917 "Работа с компьютером: базовые инструменты для учебы" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 4.0 5.0 5.0 5.0 17634603 "Новый ритм жизни – работа с календарем" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.25
4.0 4.0    17634603 "Работа с компьютером: базовые инструменты для учебы" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.25 
4.0 4.0 5.0   17634603 "Настраиваемся на учебу" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.5 0.5
5.0 5.0 5.0 4.0 4.0 16501365 "Урок 1. Логика: необходимые и достаточные условия" "Профессия Аналитик данных 27.0" Логика "Профессия Аналитик данных 4.0" 1.0 0.3333333333333333
4.0 3.0 4.0 5.0 4.0 16584249 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Полное погружение в маркетинг" 0.75 0.6666666666666666
5.0 5.0 5.0 5.0 5.0 4532819 "Новый ритм жизни – работа с календарем" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 4532819 "Работа с компьютером: базовые инструменты для учебы" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.25
4.0 4.0 4.0  4.0 17703922 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.75 0.0
5.0 5.0 5.0 5.0 5.0 15718835 "Рабочий проект в Postman" "Профессия инженер по тестированию 27.0 Профессия QA" "Тестирование API" "Профессия QA" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 16589816 "Объекты и классы" "Профессия Digital Sprint Java-разработчик 3.0" "1. Введение в профессию и синтаксис языка" "Профессия Sprint Java разработчик" 1.0 0.25
5.0 5.0 5.0 5.0 4.0 16899967 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.25
5.0 5.0 5.0 5.0 5.0 16179654 "Коллекции: листы и сеты" "Профессия Java-разработчик 10.0" "2.1 Java Core" "Профессия Java разработчик" 1.0 0.0
4.0 5.0 4.0 4.0 5.0 16509945 Циклы "Профессия Digital Java-разработчик 3.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 1.0 0.3333333333333333
3.0 3.0 4.0 4.0 3.0 16421756 "Регрессионное, smoke и повторное тестирование" "Профессия инженер по тестированию 31.0 Профессия QA" "Основы тестирования" "Профессия QA" 0.5 0.3333333333333333
4.0 4.0 3.0 4.0 4.0 16618362 Циклы "Профессия Digital Java-разработчик 3.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 0.75 0.25
5.0 5.0 5.0 4.0 4.0 14965512 "Урок 6. JOIN (SQL)" "Профессия Аналитик данных 23.0" SQL "Профессия Аналитик данных" 1.0 0.3333333333333333
4.0 4.0 3.0 4.0 4.0 15816289 "Отчетность и метрики тестирования" "Профессия инженер по тестированию 30.0 Профессия QA" "Основы тестирования" "Профессия QA" 0.75 0.25
5.0 5.0  4.0  3304508 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 0.5 0.5
5.0 5.0 5.0 5.0 5.0 16617383 "Урок 5. Работа с нестандартными данными" "Профессия Аналитик данных 28.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.0
4.0 4.0 4.0 4.0 4.0 14340691 "25.2 Хостинг и знакомство с докер" "Профессия Python-разработчик 8.0" "5. Погружение в Python, хостинг и деплой" "Профессия Python разработчик" 1.0 0.0
5.0 5.0 4.0 5.0 5.0 16759910 "Объекты и классы" "Профессия Digital Sprint Java-разработчик 3.0" "1. Введение в профессию и синтаксис языка" "Профессия Sprint Java разработчик" 1.0 0.25
4.0 3.0 4.0 4.0 4.0 16551499 "Морально готовимся к учебе" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 0.75 0.25
4.0 3.0 3.0  4.0 15923724 "Рабочий проект в Postman" "Профессия инженер по тестированию 28.0 Профессия QA" "Тестирование API" "Профессия QA" 0.25 0.33333333333333337
4.0 4.0   5.0 14821873 "Курсовой проект. Часть 3" "Профессия Аналитик данных 17.0" Python "Профессия Аналитик данных" 0.5 0.5
5.0 5.0 5.0 4.0 5.0 14302695 "Урок 1. Логика: необходимые и достаточные условия" "Профессия Аналитик данных 27.0" Логика "Профессия Аналитик данных 4.0" 1.0 0.25
